season,venue,team,opposition_team,player,player_role,balls_faced,strike_rate,runs_scored,overs_bowled,economy,wickets
2015,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Ravindra Jadeja,bowler,,,,2.0,9.49,5.0
2015,Eden Gardens,Delhi Capitals,Kolkata Knight Riders,Rohit Sharma,batsman,32.0,123.32,39.0,,,
2015,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Jasprit Bumrah,bowler,,,,4.0,8.72,2.0
2015,MA Chidambaram Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Mohammed Shami,bowler,,,,2.0,9.62,2.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Sunrisers Hyderabad,Shubman Gill,batsman,27.0,130.89,35.0,,,
2015,M Chinnaswamy Stadium,Chennai Super Kings,Kolkata Knight Riders,Yuzvendra Chahal,bowler,,,,2.0,5.55,4.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Yuzvendra Chahal,bowler,,,,4.0,7.2,3.0
2015,MA Chidambaram Stadium,Delhi Capitals,Kolkata Knight Riders,Rishabh Pant,batsman,68.0,138.07,93.0,,,
2015,M Chinnaswamy Stadium,Mumbai Indians,Chennai Super Kings,KL Rahul,batsman,13.0,138.0,17.0,,,
2015,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Ravindra Jadeja,bowler,,,,4.0,6.99,4.0
2015,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunil Narine,bowler,,,,2.0,9.59,4.0
2015,M Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Shubman Gill,batsman,21.0,102.39,21.0,,,
2015,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Sunil Narine,bowler,,,,2.0,5.11,2.0
2015,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,KL Rahul,batsman,18.0,175.4,31.0,,,
2015,M Chinnaswamy Stadium,Mumbai Indians,Delhi Capitals,Jasprit Bumrah,bowler,,,,3.0,8.34,2.0
